,player,ranking
0,Novak Djokovic,9945.0
1,Carlos Alcaraz,8455.0
2,Daniil Medvedev,7200.0
3,Jannik Sinner,5490.0
4,Andrey Rublev,4805.0
5,Stefanos Tsitsipas,4235.0
6,Alexander Zverev,3585.0
7,Holger Rune,3460.0
8,Hubert Hurkacz,3245.0
9,Taylor Fritz,3100.0
10,Casper Ruud,2825.0
11,Alex de Minaur,2740.0
12,Tommy Paul,2665.0
13,Grigor Dimitrov,2570.0
14,Karen Khachanov,2520.0
15,Frances Tiafoe,2310.0
16,Ben Shelton,2215.0
17,Cameron Norrie,1940.0
18,Nicolas Jarry,1810.0
19,Ugo Humbert,1765.0
20,Francisco Cerundolo,1760.0
21,Adrian Mannarino,1755.0
22,Tallon Griekspoor,1640.0
23,Sebastian Korda,1530.0
24,Jan-Lennard Struff,1522.0
25,Alejandro Davidovich Fokina,1495.0
26,Lorenzo Musetti,1470.0
27,Sebastian Baez,1435.0
28,Felix Auger-Aliassime,1425.0
29,Tomas Martin Etcheverry,1375.0
30,Jiri Lehecka,1372.0
31,Alexander Bublik,1369.0
32,Laslo Djere,1285.0
33,Christopher Eubanks,1253.0
34,Aslan Karatsev,1193.0
35,Arthur Fils,1162.0
36,Borna Coric,1135.0
37,Daniel Evans,1131.0
38,Roman Safiullin,1122.0
39,Alexei Popyrin,1084.0
40,Mackenzie McDonald,1055.0
41,Andy Murray,1050.0
42,Sebastian Ofner,1048.0
43,Matteo Arnaldi,1021.0
44,Max Purcell,1012.0
45,Dusan Lajovic,994.0
46,Lorenzo Sonego,990.0
47,Yoshihito Nishioka,955.0
48,Alexander Shevchenko,947.0
49,Stan Wawrinka,942.0
50,Yannick Hanfmann,937.0
51,Botic van de Zandschulp,930.0
52,Marton Fucsovics,912.0
53,J.J. Wolf,910.0
54,Miomir Kecmanovic,905.0
55,Jordan Thompson,902.0
56,Aleksandar Vukic,893.0
57,Daniel Altmaier,891.0
58,Zhizhen Zhang,885.0
59,Marcos Giron,860.0
60,Jack Draper,856.0
61,Roberto Bautista Agut,836.0
62,Roberto Carballes Baena,816.0
63,Fabian Marozsan,805.0
64,Thanasi Kokkinakis,802.0
65,Luca Van Assche,796.0
66,Christopher O'Connell,794.0
67,Pavel Kotov,791.0
68,Juan Pablo Varillas,780.0
69,Tomas Machac,779.0
70,Emil Ruusuvuori,771.0
71,Pedro Cachin,763.0
72,Rinky Hijikata,744.0
73,Borna Gojo,744.0
74,Thiago Seyboth Wild,742.0
75,Benjamin Bonzi,738.0
76,Gael Monfils,737.0
77,Taro Daniel,737.0
78,Richard Gasquet,735.0
79,Nuno Borges,729.0
80,Yosuke Watanuki,722.0
81,Dominik Koepfer,717.0
82,Bernabe Zapata Miralles,715.0
83,Alexandre Muller,714.0
84,Gregoire Barrere,708.0
85,Jaume Munar,706.0
86,Constant Lestienne,699.0
87,Cristian Garin,696.0
88,Federico Coria,694.0
89,Matteo Berrettini,682.0
90,Daniel Elahi Galan,676.0
91,Dominic Stricker,673.0
92,Arthur Rinderknech,656.0
93,Albert Ramos-Vinolas,654.0
94,Dominic Thiem,652.0
95,Quentin Halys,640.0
96,Jason Kubler,631.0
97,Flavio Cobolli,619.0
98,Alex Michelsen,619.0
99,Maximilian Marterer,616.0
